x,test,training
87,0.8958333333333334,1.0
174,0.7291666666666666,0.9863013698630136
261,0.875,0.944954128440367
348,0.8958333333333334,0.9738562091503268
436,0.9375,0.9739583333333334
523,0.9166666666666666,0.9867256637168141
610,0.9166666666666666,0.9886792452830189
697,0.9583333333333334,0.9771241830065359
784,0.9375,0.991304347826087
872,1.0,0.9791666666666666
