x,test,training
87,0.7708333333333334,0.7837837837837838
174,0.8125,0.9178082191780822
261,0.8125,0.8990825688073395
348,0.9166666666666666,0.9215686274509803
436,0.9791666666666666,0.9322916666666666
523,0.9583333333333334,0.9469026548672567
610,0.9583333333333334,0.9547169811320755
697,0.9791666666666666,0.954248366013072
784,1.0,0.9478260869565217
872,1.0,0.96875
