x,test,training
87,0.8222222222222222,0.8529411764705882
174,0.7959183673469388,0.8481012658227848
261,0.9285714285714286,0.9158878504672897
348,0.8461538461538461,0.9215686274509803
436,0.94,0.93717277486911
523,1.0,0.9553571428571429
610,0.9387755102040817,0.9440298507462687
697,0.9215686274509803,0.948051948051948
784,0.96,0.9761194029850746
872,0.9795918367346939,0.9637305699481865
