x,test,training
87,0.8256880733944955,0.8505747126436781
174,0.8256880733944955,0.896551724137931
261,0.8899082568807339,0.9233716475095786
348,0.8899082568807339,0.9310344827586207
436,0.963302752293578,0.9426605504587156
523,0.981651376146789,0.9579349904397706
610,0.9541284403669725,0.9557377049180328
697,0.9541284403669725,0.9569583931133429
784,0.981651376146789,0.9668367346938775
872,0.9908256880733946,0.9701834862385321
